id_transaksi,id_pelanggan,id_produk,tanggal_transaksi,jumlah,total_pembayaran,metode_pembayaran
T360,1003,Smartphone Murah,2023-09-26,1,1000000,Tunai
T361,1009,Paket Nelpon 500 Menit,2023-11-27,4,160000,Kartu Kredit
T362,1002,Paket Data Keluarga (4 Nomor),2023-09-26,4,600000,Transfer Bank
T363,1004,Voucher Isi Ulang Pulsa,2023-11-05,5,947430,Transfer Bank
T364,1001,Paket Kuota Video Streaming,2023-05-10,4,200000,Dompet Digital
T365,1004,Kartu Perdana SimPATI,2024-01-16,2,20000,Tunai
T366,1005,Paket Nelpon 100 Menit,2023-07-02,5,100000,Dompet Digital
T367,1003,Paket Nelpon 300 Menit,2023-12-05,1,30000,Kartu Kredit
T368,1009,Paket SMS Unlimited,2023-08-25,4,60000,Kartu Kredit
T369,1003,Paket Nelpon 500 Menit,2023-08-01,5,200000,Kartu Kredit
T370,1009,Paket Internet Korporat,2024-02-14,5,5000000,Kartu Kredit
T371,1008,Kartu Perdana AS,2024-05-03,1,15000,Tunai
T372,1008,Voucher Isi Ulang Pulsa,2023-08-31,1,189486,Transfer Bank
T373,1005,Paket Data 5GB,2024-02-22,3,150000,Tunai
T374,1007,Paket Data Unlimited,2023-05-23,3,600000,Dompet Digital
T375,1004,Paket Nelpon 100 Menit,2023-07-13,2,40000,Transfer Bank
T376,1006,Paket Roaming Asia,2023-05-25,2,200000,Tunai
T377,1001,Smartphone Murah,2024-04-14,3,3000000,Kartu Kredit
T378,1006,Kartu Perdana SimPATI,2023-10-07,3,30000,Kartu Kredit
T379,1002,Paket Roaming Eropa,2023-07-20,3,450000,Tunai
T380,1001,Voucher Isi Ulang Pulsa,2023-09-01,1,189486,Tunai
T381,1007,Smartphone Murah,2023-08-09,4,4000000,Kartu Kredit
T382,1005,Paket Nelpon 300 Menit,2024-03-28,5,150000,Tunai
T383,1005,Kartu Perdana AS,2024-03-25,3,45000,Transfer Bank
T384,1009,Paket Nelpon 500 Menit,2023-08-21,5,200000,Tunai
T385,1007,Paket Internet Malam,2023-07-15,4,100000,Dompet Digital
T386,1004,Paket Internet Malam,2023-06-25,4,100000,Dompet Digital
T387,1007,Paket Internet Malam,2023-05-22,4,100000,Dompet Digital
T388,1002,Paket Internet Korporat,2023-07-25,3,3000000,Tunai
T389,1002,Kartu Perdana SimPATI,2024-01-02,5,50000,Dompet Digital
T390,1006,Paket Data Unlimited,2023-07-05,3,600000,Transfer Bank
T391,1003,Paket Streaming Video,2023-10-20,1,75000,Transfer Bank
T392,1003,Paket Nelpon 500 Menit,2023-09-06,3,120000,Tunai
T393,1007,Paket Nelpon 500 Menit,2023-08-05,2,80000,Dompet Digital
T394,1003,Paket Streaming Video,2024-05-03,5,375000,Dompet Digital
T395,1008,Paket Nelpon 300 Menit,2023-05-29,2,60000,Tunai
T396,1009,Modem MiFi 4G,2023-06-26,2,1000000,Transfer Bank
T397,1001,Modem MiFi 4G,2024-03-03,3,1500000,Tunai
T398,1009,Paket Internet Malam,2023-09-12,1,25000,Tunai
T399,1004,Modem Wifi Portable,2023-07-17,5,1500000,Dompet Digital
T400,1008,Modem Wifi Portable,2023-10-27,3,900000,Tunai
